variedade_tamanhos2 <-  variedade_cores6 (55.6 , 2.5 )

variedade_tamanhos2 <-  Vizualizacao_externa1 variedade_cores1 (100.0 , 0.3 )

variedade_tamanhos2 <-  variedade_cores2 localizacao5 (100.0 , 0.3 )

variedade_tamanhos2 <-  vitrine1 divulgacao2 (50.0 , 0.6 )

variedade_tamanhos2 <-  atendimento1 variedade_cores3 (50.0 , 0.6 )

variedade_tamanhos2 <-  formas_pagamento5 provador1 (100.0 , 0.3 )

variedade_tamanhos2 <-  divulgacao5 qualidade_produto2 (50.0 , 0.6 )

variedade_tamanhos2 <-  Vizualizacao_externa2 formas_pagamento2 (66.7 , 0.8 )

variedade_tamanhos2 <-  vitrine2 Vizualizacao_externa5 (50.0 , 0.6 )

variedade_tamanhos2 <-  atendimento2 aparencia_loja2 (50.0 , 2.3 )

variedade_tamanhos2 <-  qualidade_produto1 aparencia_loja5 (50.0 , 0.6 )

variedade_tamanhos2 <-  Vendedor2 provador2 (60.0 , 2.8 )

variedade_tamanhos2 <-  localizacao6 atendimento6 aparencia_loja4 (100.0 , 0.3 )

variedade_tamanhos1 <-  atendimento1 (57.1 , 2.0 )

variedade_tamanhos1 <-  provador1 (51.6 , 8.8 )

variedade_tamanhos1 <-  variedade_cores1 vitrine1 (100.0 , 0.3 )

variedade_tamanhos1 <-  variedade_cores2 Vizualizacao_externa2 (100.0 , 0.3 )

variedade_tamanhos1 <-  atendimentonr localizacao6 (100.0 , 0.3 )

variedade_tamanhos1 <-  variedade_cores6 localizacao5 (50.0 , 0.6 )

variedade_tamanhos1 <-  divulgacao5 qualidade_produto3 (100.0 , 0.6 )

variedade_tamanhos1 <-  variedade_cores3 qualidade_produto1 (100.0 , 0.3 )

variedade_tamanhos1 <-  vitrine2 Vendedor3 (50.0 , 1.1 )

variedade_tamanhos1 <-  atendimento6 divulgacao4 (50.0 , 0.6 )

variedade_tamanhos1 <-  localizacao2 divulgacao3 (100.0 , 0.3 )

variedade_tamanhos1 <-  localizacao1 SimRetornou (50.0 , 0.6 )

variedade_tamanhos1 <-  Vendedor4 formas_pagamento1 (60.0 , 7.1 )

variedade_tamanhos4 <-  divulgacaonr (50.0 , 1.1 )

variedade_tamanhos4 <-  provador (50.0 , 1.7 )

variedade_tamanhos4 <-  formas_pagamento4 (53.1 , 13.9 )

variedade_tamanhos4 <-  aparencia_lojanr localizacao2 (100.0 , 0.3 )

variedade_tamanhos4 <-  Vizualizacao_externa1 variedade_cores2 (100.0 , 0.3 )

variedade_tamanhos4 <-  atendimentonr formas_pagamento5 (100.0 , 0.3 )

variedade_tamanhos4 <-  vitrine1 atendimento6 (100.0 , 0.3 )

variedade_tamanhos4 <-  atendimento1 Vizualizacao_externa3 (50.0 , 0.6 )

variedade_tamanhos4 <-  variedade_cores6 divulgacao4 (100.0 , 0.3 )

variedade_tamanhos4 <-  divulgacao5 localizacao6 (100.0 , 0.3 )

variedade_tamanhos4 <-  variedade_cores3 Vizualizacao_externa2 (100.0 , 0.3 )

variedade_tamanhos4 <-  localizacao5 aparencia_loja5 (50.0 , 1.7 )

variedade_tamanhos4 <-  vitrine2 divulgacao3 (100.0 , 0.6 )

variedade_tamanhos4 <-  atendimento2 Vendedor2 (57.1 , 2.0 )

variedade_tamanhos4 <-  formas_pagamento3 qualidade_produto2 (50.0 , 1.1 )

variedade_tamanhos4 <-  aparencia_loja1 noite (50.0 , 1.1 )

variedade_tamanhos4 <-  provador5 formas_pagamento2 (66.7 , 0.8 )

variedade_tamanhos4 <-  Vendedor1 provador2 (50.0 , 2.8 )

variedade_tamanhos4 <-  vitrine5 provador3 (50.0 , 5.1 )

variedade_tamanhos4 <-  qualidade_produto5 tarde (50.0 , 6.2 )

variedade_tamanhos4 <-  aparencia_loja3 provador4 (53.8 , 7.4 )

variedade_tamanhos3 <-  formas_pagamentonr aparencia_loja2 (100.0 , 0.3 )

variedade_tamanhos3 <-  Vizualizacao_externa1 vitrine1 (100.0 , 0.3 )

variedade_tamanhos3 <-  variedade_cores1 Vendedor3 (100.0 , 0.3 )

variedade_tamanhos3 <-  divulgacao5 formas_pagamento4 (50.0 , 0.6 )

variedade_tamanhos3 <-  variedade_cores3 divulgacao3 (50.0 , 0.6 )

variedade_tamanhos3 <-  localizacao6 Vendedor2 (50.0 , 0.6 )

variedade_tamanhos3 <-  Vizualizacao_externa2 aparencia_loja5 (100.0 , 0.6 )

variedade_tamanhos3 <-  provador1 formas_pagamento3 (50.0 , 0.6 )

variedade_tamanhos3 <-  vitrine2 divulgacao4 (50.0 , 0.6 )

variedade_tamanhos3 <-  atendimento6 Vizualizacao_externa3 (50.0 , 1.7 )

variedade_tamanhos3 <-  aparencia_loja1 atendimento3 (50.0 , 1.1 )

